Reported memory usage
Time diff;Memory (KB);Thread id
0;7088;139881443813184
14373066;7088;139881443542784
17113638;7088;139881418364672
17306877;7088;139881443542784
17838213;7088;139881435150080
17860454;7088;139881443542784
18681322;7088;139881426757376
19024884;7088;139881435150080
19442354;7088;139881435150080
19616741;7088;139881443542784
19806308;7088;139881435150080
20648957;7088;139881435150080
21000404;7088;139881426757376
21742844;7088;139881443542784
21892522;7088;139881426757376
22030557;7088;139881435150080
22832690;7088;139881418364672
23398319;7088;139881435150080
23729033;7088;139881418364672
23917369;7088;139881435150080
24869454;7088;139881435150080
25690520;7088;139881426757376
25993981;7088;139881426757376
26447777;7088;139881426757376
26551562;7088;139881418364672
27348738;7088;139881443542784
27535734;7088;139881426757376
29008527;7088;139881418364672
29671542;7088;139881426757376
29767299;7088;139881435150080
30688050;7088;139881426757376
30708615;7088;139881418364672
31341968;7088;139881418364672
31923006;7088;139881418364672
32564443;7088;139881443542784
32703000;7088;139881426757376
33436362;7088;139881435150080
33480152;7088;139881443542784
33821436;7088;139881443542784
34661526;7088;139881418364672
35034977;7088;139881418364672
35836085;7088;139881418364672
36099900;7088;139881426757376
36712908;7088;139881426757376
37097954;7088;139881426757376
37294192;7088;139881435150080
37432404;7088;139881426757376
38342159;7088;139881443542784
38776432;7088;139881443542784
39353451;7088;139881435150080
39500878;7088;139881418364672
39833966;7088;139881443542784
40557460;7088;139881435150080
41105737;7088;139881426757376
41937200;7088;139881435150080
41995974;7088;139881418364672
42145051;7088;139881443542784
42502716;7088;139881418364672
42942612;7088;139881418364672
43642999;7088;139881426757376
44786886;7088;139881443542784
44906896;7088;139881435150080
45748581;7088;139881418364672
45824147;7088;139881435150080
45858185;7088;139881443542784
46098888;7088;139881426757376
46843478;7088;139881426757376
46908523;7088;139881435150080
47502153;7088;139881426757376
47776920;7088;139881435150080
47848257;7088;139881426757376
48142698;7088;139881426757376
48605561;7088;139881435150080
49067918;7088;139881418364672
49148010;7088;139881426757376
49194906;7088;139881443542784
49942889;7088;139881418364672
50828510;7088;139881435150080
50947209;7088;139881443542784
51799598;7088;139881426757376
51807438;7088;139881418364672
52569196;7088;139881435150080
53381467;7088;139881443542784
53430442;7088;139881435150080
53435271;7088;139881426757376
53733742;7088;139881443542784
54064810;7088;139881443542784
54636515;7088;139881418364672
54781223;7088;139881435150080
56119708;7088;139881435150080
56357966;7088;139881418364672
56506543;7088;139881435150080
56524281;7088;139881426757376
56859591;7088;139881435150080
57801041;7088;139881426757376
57862930;7088;139881435150080
58513646;7088;139881418364672
59167838;7088;139881426757376
59570881;7088;139881426757376
59583295;7088;139881435150080
60111224;7088;139881435150080
60877574;7088;139881426757376
61336654;7088;139881426757376
61349481;7088;139881435150080
61637288;7088;139881418364672
62027237;7088;139881435150080
62898807;7088;139881426757376
62918929;7088;139881443542784
62970619;7088;139881418364672
63244929;7088;139881426757376
63756125;7088;139881443542784
63831790;7088;139881426757376
64102286;7088;139881443542784
65614191;7088;139881426757376
65651251;7088;139881418364672
65815432;7088;139881443542784
66491864;7088;139881418364672
66497922;7088;139881435150080
66590841;7088;139881443542784
67258211;7088;139881426757376
68145513;7088;139881418364672
68230047;7088;139881435150080
68369156;7088;139881426757376
68549460;7088;139881443542784
68858807;7088;139881443542784
69561496;7088;139881418364672
69627596;7088;139881443542784
70282028;7088;139881443542784
70826226;7088;139881426757376
71171704;7088;139881418364672
71352478;7088;139881435150080
72093426;7088;139881443542784
72522563;7088;139881418364672
72842476;7088;139881418364672
72866467;7088;139881443542784
73190083;7088;139881418364672
73661256;7088;139881418364672
73975818;7088;139881443542784
74167078;7088;139881426757376
74233300;7088;139881435150080
74493027;7088;139881418364672
74547797;7088;139881435150080
75606388;7088;139881435150080
76120823;7088;139881435150080
76559960;7088;139881435150080
77564123;7088;139881418364672
77923033;7088;139881426757376
78262684;7088;139881443542784
78873274;7088;139881435150080
79035944;7088;139881443542784
79199607;7088;139881435150080
79498253;7088;139881435150080
79916799;7088;139881426757376
80095275;7088;139881443542784
80404228;7088;139881426757376
80944736;7088;139881418364672
81203629;7088;139881426757376
81400678;7088;139881443542784
82319500;7088;139881426757376
82557583;7088;139881435150080
83359446;7088;139881435150080
84162414;7088;139881435150080
84926319;7088;139881418364672
85374785;7088;139881435150080
85438452;7088;139881426757376
85670912;7088;139881443542784
85777434;7088;139881418364672
86082478;7088;139881435150080
86544830;7088;139881443542784
