Time diff;Memory (KB);Thread id
0;5892;139881443813184
0;6528;139881443813184
0;6860;139881443813184
0;7088;139881443813184
0;7088;139881443813184
0;7240;139881443813184
0;7240;139881443813184
0;7240;139881443813184
0;7240;139881443813184
0;7352;139881443813184
15682562;5892;139881426757376
14355151;6528;139881418364672
14637208;6860;139881418364672
14373066;7088;139881443542784
15251832;7088;139881418364672
15052938;7240;139881443542784
15757854;7240;139881418364672
14605869;7240;139881443542784
15525987;7240;139881418364672
14704385;7352;139881443542784
18872703;5892;139881443542784
17115759;6528;139881435150080
17484979;6860;139881443542784
17113638;7088;139881418364672
17766118;7088;139881435150080
17609316;7240;139881443542784
18550769;7240;139881426757376
17311145;7240;139881443542784
18027033;7240;139881418364672
17952826;7352;139881426757376
19566894;5892;139881435150080
17996623;6528;139881426757376
18244425;6860;139881435150080
17306877;7088;139881443542784
18475874;7088;139881418364672
18004397;7240;139881435150080
18779119;7240;139881435150080
17523016;7240;139881426757376
18715640;7240;139881443542784
18830206;7352;139881435150080
19762966;5892;139881426757376
18727174;6528;139881443542784
19938008;6860;139881418364672
17838213;7088;139881435150080
19422093;7088;139881426757376
18543892;7240;139881443542784
19068671;7240;139881443542784
18009334;7240;139881443542784
19621396;7240;139881426757376
19750994;7352;139881426757376
20502181;5892;139881426757376
19128584;6528;139881418364672
20044532;6860;139881443542784
17860454;7088;139881443542784
19587782;7088;139881435150080
18561735;7240;139881426757376
19458669;7240;139881435150080
18020950;7240;139881426757376
20408336;7240;139881435150080
20372376;7352;139881418364672
20903207;5892;139881418364672
19247857;6528;139881435150080
20050867;6860;139881435150080
18681322;7088;139881426757376
20410400;7088;139881426757376
18964514;7240;139881426757376
19853605;7240;139881443542784
18815120;7240;139881435150080
20474934;7240;139881443542784
20528753;7352;139881435150080
21129667;5892;139881426757376
19498640;6528;139881426757376
20097284;6860;139881426757376
19024884;7088;139881435150080
20718264;7088;139881426757376
19505285;7240;139881443542784
20690815;7240;139881435150080
19443109;7240;139881443542784
20503102;7240;139881418364672
21499701;7352;139881435150080
21834646;5892;139881435150080
19681570;6528;139881418364672
21641120;6860;139881443542784
19442354;7088;139881435150080
21187862;7088;139881443542784
19561287;7240;139881426757376
21268744;7240;139881435150080
19491361;7240;139881435150080
21094940;7240;139881418364672
21521801;7352;139881418364672
21877917;5892;139881418364672
20249674;6528;139881418364672
21902496;6860;139881435150080
19616741;7088;139881443542784
21409315;7088;139881418364672
20056875;7240;139881435150080
22050972;7240;139881435150080
19843149;7240;139881435150080
21152770;7240;139881443542784
21531676;7352;139881443542784
21993912;5892;139881443542784
21348701;6528;139881426757376
22179600;6860;139881443542784
19806308;7088;139881435150080
21413531;7088;139881426757376
20655506;7240;139881435150080
22141706;7240;139881426757376
20339123;7240;139881435150080
21368755;7240;139881435150080
22627481;7352;139881443542784
22326171;5892;139881418364672
21389131;6528;139881443542784
22204091;6860;139881418364672
20648957;7088;139881435150080
22011806;7088;139881418364672
20670646;7240;139881443542784
22233453;7240;139881443542784
20464981;7240;139881426757376
22093087;7240;139881418364672
22897834;7352;139881418364672
23280366;5892;139881418364672
21401715;6528;139881435150080
23089292;6860;139881426757376
21000404;7088;139881426757376
22141791;7088;139881443542784
21181568;7240;139881426757376
22647822;7240;139881435150080
20690610;7240;139881435150080
22337843;7240;139881435150080
23342725;7352;139881435150080
23494353;5892;139881443542784
21950892;6528;139881435150080
23340539;6860;139881435150080
21742844;7088;139881443542784
22251883;7088;139881435150080
21402823;7240;139881418364672
22721773;7240;139881418364672
21814762;7240;139881435150080
23129693;7240;139881443542784
24063146;7352;139881418364672
23671278;5892;139881418364672
23233019;6528;139881435150080
24400496;6860;139881426757376
21892522;7088;139881426757376
22652215;7088;139881418364672
21961692;7240;139881426757376
23170734;7240;139881435150080
21964120;7240;139881443542784
23674437;7240;139881418364672
24251988;7352;139881426757376
23846309;5892;139881435150080
23266716;6528;139881426757376
25281615;6860;139881418364672
22030557;7088;139881435150080
24022417;7088;139881418364672
22017655;7240;139881435150080
24556344;7240;139881435150080
22204633;7240;139881418364672
23682615;7240;139881426757376
24960914;7352;139881435150080
24570296;5892;139881435150080
