Reported memory usage
Time diff;Memory (KB);Thread id
0;36020;140629279971136
191348914;36020;140629267625728
284983780;36020;140629267625728
284994333;36020;140629259233024
295977977;36020;140629259233024
295983301;36020;140629267625728
295987180;36020;140629276018432
582564351;36020;140629267625728
584963979;36020;140629250840320
834410877;36020;140629267625728
1442961349;36020;140629276018432
2373577524;36020;140629276018432
2398109766;36020;140629267625728
2458753947;36020;140629250840320
2492276312;36020;140629267625728
2736961812;36020;140629259233024
3044601273;36020;140629267625728
3047543340;36020;140629250840320
3048920256;36020;140629276018432
3069091054;36020;140629267625728
3568871288;36020;140629259233024
3589350938;36020;140629267625728
3589360779;36020;140629250840320
4067744853;36020;140629267625728
6693031601;36020;140629267625728
6715078571;36020;140629250840320
7664384344;36020;140629259233024
8327237439;36020;140629267625728
8350555302;36020;140629250840320
8372875505;36020;140629276018432
9455117372;36020;140629267625728
10274416046;36020;140629276018432
10995054216;36020;140629250840320
11019605595;36020;140629267625728
11044884705;36020;140629259233024
11062108399;36020;140629276018432
11080291492;36020;140629259233024
11148769182;36020;140629250840320
11656404880;36020;140629259233024
12351768973;36020;140629276018432
12441851939;36020;140629259233024
12453730097;36020;140629267625728
12949775449;36020;140629250840320
13095586954;36020;140629250840320
13305368618;36020;140629276018432
13345227663;36020;140629267625728
13776530647;36020;140629267625728
13800369948;36020;140629276018432
13882279176;36020;140629250840320
14354318227;36020;140629267625728
14704334509;36020;140629250840320
14709509108;36020;140629276018432
15169452541;36020;140629259233024
15181161669;36020;140629267625728
15181172988;36020;140629276018432
15473533279;36020;140629276018432
16627032982;36020;140629259233024
17225299008;36020;140629276018432
17606179858;36020;140629259233024
18323383584;36020;140629259233024
18347487731;36020;140629259233024
18371333144;36020;140629276018432
18393050995;36020;140629259233024
19588869587;36020;140629259233024
20315715880;36020;140629250840320
20338144441;36020;140629267625728
21309194394;36020;140629259233024
22254564917;36020;140629259233024
22292785811;36020;140629259233024
22328983737;36020;140629259233024
22400336962;36020;140629267625728
22897873822;36020;140629250840320
22974596417;36020;140629250840320
23001274451;36020;140629276018432
23063629854;36020;140629259233024
23594333727;36020;140629267625728
23685301933;36020;140629250840320
23720997406;36020;140629267625728
23791137682;36020;140629250840320
23991656288;36020;140629259233024
24025718144;36020;140629267625728
24030318476;36020;140629250840320
24875831628;36020;140629267625728
25069637707;36020;140629259233024
25081020777;36020;140629259233024
25092424848;36020;140629250840320
25092433025;36020;140629276018432
25092441232;36020;140629267625728
25092569838;36020;140629259233024
25102101984;36020;140629259233024
26003136381;36020;140629250840320
26003146583;36020;140629276018432
26014399852;36020;140629259233024
26014406438;36020;140629267625728
26024216571;36020;140629259233024
27243690028;36020;140629250840320
27245538859;36020;140629276018432
27245547788;36020;140629259233024
27512785879;36020;140629250840320
27513793267;36020;140629259233024
27522861144;36020;140629250840320
28526401302;36020;140629267625728
29146009944;36020;140629250840320
29437038725;36020;140629267625728
29448527037;36020;140629276018432
30030367141;36020;140629276018432
30315268506;36020;140629250840320
30325844966;36020;140629250840320
30325858584;36020;140629276018432
30335643539;36020;140629259233024
31360100823;36020;140629267625728
31664730546;36020;140629259233024
31674454767;36020;140629259233024
32234499777;36020;140629259233024
32244165711;36020;140629259233024
32980114155;36020;140629267625728
33264066017;36020;140629259233024
33274771345;36020;140629267625728
33274779674;36020;140629250840320
33274807454;36020;140629276018432
33285472657;36020;140629259233024
33742085999;36020;140629259233024
34008919658;36020;140629276018432
34019512281;36020;140629276018432
35366462448;36020;140629259233024
35629641295;36020;140629267625728
35629650377;36020;140629250840320
35639541519;36020;140629267625728
36158645399;36020;140629267625728
36165706675;36020;140629259233024
36169323180;36020;140629267625728
36170020363;36020;140629276018432
36180083851;36020;140629259233024
36180090893;36020;140629250840320
36190619738;36020;140629259233024
37331462880;36020;140629250840320
37999873174;36020;140629267625728
38463520894;36020;140629267625728
38475271748;36020;140629267625728
38475278210;36020;140629259233024
38741084326;36020;140629250840320
39516419383;36020;140629267625728
39526974792;36020;140629267625728
40252526814;36020;140629259233024
40263043823;36020;140629259233024
40272783819;36020;140629259233024
41029732207;36020;140629276018432
41441981715;36020;140629276018432
41454809442;36020;140629276018432
41477484130;36020;140629250840320
41877913069;36020;140629250840320
42095748428;36020;140629259233024
42102323459;36020;140629267625728
42645907116;36020;140629276018432
42891200254;36020;140629276018432
43165120842;36020;140629250840320
43641584115;36020;140629276018432
43660865097;36020;140629276018432
43680657738;36020;140629267625728
43700656746;36020;140629259233024
44905010386;36020;140629259233024
45477991052;36020;140629276018432
45923476042;36020;140629267625728
46265295805;36020;140629250840320
47157109927;36020;140629259233024
47177948609;36020;140629276018432
47573173839;36020;140629250840320
48169965757;36020;140629250840320
48929538303;36020;140629276018432
48950115074;36020;140629259233024
49957729667;36020;140629276018432
49965249032;36020;140629250840320
49977745567;36020;140629276018432
51572988775;36020;140629267625728
51583222822;36020;140629259233024
51586772332;36020;140629267625728
51598017834;36020;140629267625728
52733601414;36020;140629276018432
53106973810;36020;140629276018432
53144174501;36020;140629259233024
53214262667;36020;140629250840320
53581256576;36020;140629276018432
53594328656;36020;140629259233024
53688005945;36020;140629276018432
53991994199;36020;140629250840320
54002375291;36020;140629276018432
54243376307;36020;140629259233024
54535664611;36020;140629267625728
54539810091;36020;140629250840320
54563348661;36020;140629250840320
54564726188;36020;140629276018432
54586678699;36020;140629267625728
54586841302;36020;140629276018432
54813893076;36020;140629250840320
56688358423;36020;140629267625728
57833072681;36020;140629259233024
57838968627;36020;140629267625728
57852965346;36020;140629259233024
58053342923;36020;140629250840320
58512779718;36020;140629276018432
59152297080;36020;140629276018432
60145193678;36020;140629276018432
60165676217;36020;140629267625728
61504466370;36020;140629250840320
61504479061;36020;140629259233024
61510155045;36020;140629267625728
62424043066;36020;140629276018432
63636501817;36020;140629259233024
63811141013;36020;140629259233024
63833586326;36020;140629267625728
64897233137;36020;140629250840320
65539744597;36020;140629276018432
66085500310;36020;140629250840320
66152934414;36020;140629250840320
66163379695;36020;140629250840320
66739935093;36020;140629250840320
66751517341;36020;140629250840320
66763135756;36020;140629267625728
66773772723;36020;140629267625728
66785151978;36020;140629267625728
66785158685;36020;140629250840320
66795268254;36020;140629276018432
68053793342;36020;140629267625728
68053808228;36020;140629259233024
68063388265;36020;140629259233024
68960832685;36020;140629276018432
68966607516;36020;140629250840320
69230873804;36020;140629276018432
69757103510;36020;140629267625728
