Time diff;Memory (KB);Thread id
0;5892;140541187176256
0;30492;140541187176256
0;33412;140541187176256
0;33984;140541187176256
193823936;18912;140541166438144
189253370;30492;140541183223552
212340677;33412;140541174830848
188266473;33984;140541174830848
375206686;20572;140541166438144
367666893;30492;140541174830848
409145457;33412;140541158045440
364510564;33984;140541183223552
501384608;21308;140541183223552
581416152;30492;140541158045440
751338803;33412;140541166438144
574476024;33984;140541183223552
1251194716;21928;140541183223552
694602355;30492;140541183223552
985015345;33412;140541174830848
684680574;33984;140541174830848
1624324867;22456;140541183223552
700640469;30492;140541174830848
1931472956;33412;140541174830848
1479643990;33984;140541166438144
2207960698;22720;140541158045440
1192189363;30492;140541183223552
1956468960;33412;140541166438144
1501307233;33984;140541174830848
2799124007;23248;140541166438144
2770747673;30492;140541183223552
3322627840;33412;140541158045440
2762846698;33984;140541158045440
2823644948;23512;140541174830848
2794291518;30492;140541183223552
3326063692;33412;140541183223552
2767692638;33984;140541183223552
2847828015;23776;140541158045440
2817298185;30492;140541166438144
4169603168;33412;140541174830848
2782768086;33984;140541166438144
4130767437;25048;140541183223552
3133520377;30492;140541183223552
4188687112;33412;140541158045440
2785682396;33984;140541158045440
4771658996;25048;140541183223552
4176455883;30492;140541174830848
5182631766;33412;140541174830848
2808474059;33984;140541183223552
4795894145;25048;140541158045440
4996973324;30492;140541166438144
5901333676;33412;140541158045440
2831582564;33984;140541174830848
6008964631;25312;140541183223552
4998254221;30492;140541174830848
5902957146;33412;140541183223552
4133519564;33984;140541183223552
6031586011;25312;140541183223552
5833221413;30492;140541158045440
5927670300;33412;140541158045440
4693950920;33984;140541158045440
6054107862;25312;140541166438144
6929533691;30492;140541158045440
5953288222;33412;140541174830848
4717688386;33984;140541166438144
6077685373;25312;140541158045440
7554432497;30492;140541166438144
6414395074;33412;140541166438144
6110972818;33984;140541174830848
7142189101;25576;140541158045440
7579129449;30492;140541183223552
7284635872;33412;140541174830848
7353069728;33984;140541183223552
7930427969;25576;140541158045440
8558608915;30492;140541183223552
8008314787;33412;140541166438144
8455326596;33984;140541174830848
8847693553;25576;140541166438144
8583153987;30492;140541174830848
8796525632;33412;140541158045440
8614042932;33984;140541166438144
9109155554;25576;140541158045440
8583160604;30492;140541158045440
8816971985;33412;140541174830848
9052443492;33984;140541183223552
9956294861;25576;140541158045440
9287644528;30492;140541158045440
9809804510;33412;140541158045440
9614384687;33984;140541174830848
10704222421;25824;140541166438144
10698078259;30492;140541174830848
10667262543;33412;140541183223552
10684023049;33984;140541166438144
11040425277;25824;140541158045440
10884410484;30492;140541183223552
11172202366;33412;140541166438144
10934947288;33984;140541166438144
11325907700;25824;140541183223552
10898173954;30492;140541183223552
11288217499;33412;140541174830848
11201107806;33984;140541166438144
11659310602;26088;140541158045440
11501918230;30492;140541183223552
12245639437;33412;140541174830848
11202484675;33984;140541158045440
11667532025;26088;140541174830848
11513245633;30492;140541158045440
12729931683;33412;140541174830848
11205758585;33984;140541174830848
11672542158;26088;140541166438144
11526648819;30492;140541183223552
13148535764;33412;140541166438144
11225889688;33984;140541166438144
11674080816;26088;140541183223552
11784329258;30492;140541166438144
13669089348;33412;140541174830848
11250421650;33984;140541158045440
12420396257;26616;140541158045440
11807921221;30492;140541183223552
13670505949;33412;140541183223552
12656260633;33984;140541174830848
12446169067;26616;140541183223552
12932606522;30492;140541174830848
13695228438;33412;140541166438144
12670789072;33984;140541183223552
13476719003;27392;140541158045440
13459195129;30492;140541166438144
15546998579;33412;140541166438144
12754846543;33984;140541174830848
14015450373;27392;140541166438144
13462477002;30492;140541174830848
16067596980;33412;140541166438144
12778670082;33984;140541166438144
14016945811;27392;140541158045440
13483618392;30492;140541183223552
16546337079;33412;140541158045440
14220590146;33984;140541183223552
14019871815;27392;140541174830848
14445149721;30492;140541158045440
17141915508;33412;140541183223552
15105526465;33984;140541166438144
14509382328;27920;140541166438144
14449453356;30492;140541174830848
17438788197;33412;140541166438144
15131298639;33984;140541158045440
14509390435;27920;140541158045440
14450910215;30492;140541166438144
17444120001;33412;140541183223552
16453082888;33984;140541174830848
15004060562;28708;140541166438144
14563679774;30492;140541166438144
17957990382;33412;140541166438144
17347112068;33984;140541158045440
16529498423;29236;140541183223552
15520611469;30492;140541158045440
19247282084;33412;140541174830848
18269181752;33984;140541174830848
18236053495;29236;140541183223552
15522020279;30492;140541166438144
19270567740;33412;140541158045440
18326122265;33984;140541166438144
19218907160;29500;140541158045440
16016263968;30700;140541158045440
19277562665;33412;140541183223552
19095455484;33984;140541183223552
19448812918;29500;140541158045440
18232017273;30964;140541166438144
19305067088;33412;140541174830848
19635225689;33984;140541166438144
19450135703;29500;140541174830848
18775989015;30964;140541174830848
20309972118;33672;140541174830848
19639948378;33984;140541158045440
19471655994;29500;140541183223552
18777288761;30964;140541158045440
21049952282;33672;140541183223552
20217066397;33984;140541158045440
21491648699;29500;140541166438144
19248079186;30964;140541166438144
21778395531;33672;140541183223552
21297007206;33984;140541158045440
21819417062;29500;140541174830848
20922784263;30964;140541174830848
22035381965;33672;140541183223552
21319633234;33984;140541158045440
21819422482;29500;140541166438144
21321515002;30964;140541174830848
23752811275;33672;140541183223552
21650249262;33984;140541174830848
21819426757;29500;140541183223552
21963801619;30964;140541183223552
23779395760;33672;140541183223552
21651857453;33984;140541158045440
22328584213;29500;140541158045440
22010726018;30964;140541166438144
23804906599;33672;140541166438144
22002195448;33984;140541174830848
22328594674;29500;140541183223552
22206610883;30964;140541183223552
24089245608;33672;140541166438144
23216676682;33984;140541166438144
22508512977;29500;140541158045440
22748194633;30964;140541166438144
25177751955;33672;140541158045440
23216683520;33984;140541183223552
24573075521;29500;140541166438144
22754279797;30964;140541174830848
26113542174;33672;140541166438144
23711543474;33984;140541183223552
25305789970;29500;140541174830848
23246135087;30964;140541158045440
26670434468;33672;140541183223552
25148808456;33984;140541158045440
25328560668;29500;140541158045440
24641878105;30964;140541174830848
26695239309;33672;140541166438144
25173708461;33984;140541183223552
25328576119;29500;140541166438144
24643388522;30964;140541183223552
27864005294;33672;140541183223552
26450335974;33984;140541183223552
25826023342;29500;140541158045440
24665400336;30964;140541166438144
28486455731;33672;140541183223552
26678512012;33984;140541183223552
25827562220;29500;140541166438144
