Reported memory usage
Time diff;Memory (KB);Thread id
0;24160;139674143872832
150671138;24160;139674143872832
335235963;24160;139674143872832
400723122;24160;139674143872832
442436876;24160;139674143872832
600367510;24160;139674143872832
1361057658;24160;139674143872832
1378394377;24160;139674143872832
4139402705;24160;139674143872832
7893398372;24160;139674143872832
7910809402;24160;139674143872832
7928861609;24160;139674143872832
7946413328;24160;139674143872832
10680637352;24160;139674143872832
13422060832;24160;139674143872832
13439622032;24160;139674143872832
16170031033;24160;139674143872832
18922870749;24160;139674143872832
18942050197;24160;139674143872832
18960710305;24160;139674143872832
21771670283;24160;139674143872832
24600831560;24160;139674143872832
24620172326;24160;139674143872832
27517869362;24160;139674143872832
30790136067;24160;139674143872832
31551414489;24160;139674143872832
31568975586;24160;139674143872832
34317890001;24160;139674143872832
38079821155;24160;139674143872832
38097342418;24160;139674143872832
38115533034;24160;139674143872832
38133230103;24160;139674143872832
40864649863;24160;139674143872832
43617719948;24160;139674143872832
43636073720;24160;139674143872832
46370781678;24160;139674143872832
49129801023;24160;139674143872832
49148881866;24160;139674143872832
49167372819;24160;139674143872832
51980285795;24160;139674143872832
54814389741;24160;139674143872832
54833713132;24160;139674143872832
57732785255;24160;139674143872832
60909043490;24160;139674143872832
61065852015;24160;139674143872832
61824828622;24160;139674143872832
61842278918;24160;139674143872832
64588769518;24160;139674143872832
68337741162;24160;139674143872832
68354992280;24160;139674143872832
68372863973;24160;139674143872832
68390369105;24160;139674143872832
71118503142;24160;139674143872832
73857492504;24160;139674143872832
73875152418;24160;139674143872832
76605030699;24160;139674143872832
79359424395;24160;139674143872832
79378488128;24160;139674143872832
79396952515;24160;139674143872832
82210877877;24160;139674143872832
85038565869;24160;139674143872832
85058031510;24160;139674143872832
87957956860;24160;139674143872832
91229497960;24160;139674143872832
91992057101;24160;139674143872832
92009382218;24160;139674143872832
94762673475;24160;139674143872832
98544722027;24160;139674143872832
98562015763;24160;139674143872832
98580227004;24160;139674143872832
98597777065;24160;139674143872832
101328537779;24160;139674143872832
104073674791;24160;139674143872832
104091276038;24160;139674143872832
106821770182;24160;139674143872832
109583439396;24160;139674143872832
109602682611;24160;139674143872832
109621452735;24160;139674143872832
112440007677;24160;139674143872832
115273988547;24160;139674143872832
115293375145;24160;139674143872832
118191210615;24160;139674143872832
121420196455;24160;139674143872832
121462602216;24160;139674143872832
121618273343;24160;139674143872832
122372269003;24160;139674143872832
122389610538;24160;139674143872832
125111270717;24160;139674143872832
128830419618;24160;139674143872832
128848349880;24160;139674143872832
128866966208;24160;139674143872832
128885029264;24160;139674143872832
131583828866;24160;139674143872832
134293121971;24160;139674143872832
134310749138;24160;139674143872832
137007042664;24160;139674143872832
139729107075;24160;139674143872832
139748326178;24160;139674143872832
139766796673;24160;139674143872832
142545800544;24160;139674143872832
145342238819;24160;139674143872832
145361515811;24160;139674143872832
148234206063;24160;139674143872832
151474974421;24160;139674143872832
152228290525;24160;139674143872832
152245633796;24160;139674143872832
154965519754;24160;139674143872832
158705052338;24160;139674143872832
158722455966;24160;139674143872832
158740470718;24160;139674143872832
158758570805;24160;139674143872832
161458069099;24160;139674143872832
164169254300;24160;139674143872832
164186869717;24160;139674143872832
166887022975;24160;139674143872832
169607507464;24160;139674143872832
169626837588;24160;139674143872832
169645569025;24160;139674143872832
172431121356;24160;139674143872832
175317050196;24160;139674143872832
175337532480;24160;139674143872832
178217617346;24160;139674143872832
181378407876;24160;139674143872832
181557081907;24160;139674143872832
182381006112;24160;139674143872832
182398346779;24160;139674143872832
185113255659;24160;139674143872832
188827962064;24160;139674143872832
188845314851;24160;139674143872832
188863087820;24160;139674143872832
188880615512;24160;139674143872832
191576796211;24160;139674143872832
194296877954;24160;139674143872832
194315264970;24160;139674143872832
197014577000;24160;139674143872832
199735688145;24160;139674143872832
199754654588;24160;139674143872832
199773208932;24160;139674143872832
202552585746;24160;139674143872832
205359516229;24160;139674143872832
205379015396;24160;139674143872832
208257125123;24160;139674143872832
211416409021;24160;139674143872832
213888752197;24160;139674143872832
214064131522;24160;139674143872832
214845582697;24160;139674143872832
214863930584;24160;139674143872832
217635086779;24160;139674143872832
221600411090;24160;139674143872832
221618491387;24160;139674143872832
221636958824;24160;139674143872832
221654940483;24160;139674143872832
224393588947;24160;139674143872832
227145603359;24160;139674143872832
227165652977;24160;139674143872832
229904555863;24160;139674143872832
232672481051;24160;139674143872832
232692628910;24160;139674143872832
232711667993;24160;139674143872832
235539937732;24160;139674143872832
238413246221;24160;139674143872832
238434739435;24160;139674143872832
241377233238;24160;139674143872832
243374040862;24160;139674143872832
243383543346;24160;139674143872832
245067358600;24160;139674143872832
247412345946;24160;139674143872832
